date,0
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-06-01,
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-28,
2021-06-29,
2021-06-30,0.001457010393618326
2021-07-01,0.0016416739619263224
2021-07-02,0.0038645750321992496
2021-07-06,0.0013026667374162568
2021-07-07,0.0027094350843248818
2021-07-08,-0.0013963443932703613
2021-07-09,0.0012384195888652811
2021-07-12,0.00038986295000357216
2021-07-13,-0.0024635960810055874
2021-07-14,0.0025567444046032954
2021-07-15,0.0008504690097554049
2021-07-16,-0.0024977359573071195
2021-07-19,-0.001226457484080828
2021-07-20,0.0042540562850411235
2021-07-21,0.0005022139643359985
2021-07-22,0.002569240025513733
2021-07-23,0.0019093217738344148
2021-07-26,-0.00016906884522170735
2021-07-27,0.0006419043313790798
2021-07-28,0.00015645780786483702
2021-07-29,0.00018428573269987111
2021-07-30,-0.00087189048163718
2021-08-02,0.0008493691785769175
2021-08-03,0.0030271513744534575
2021-08-04,-0.001912882659145739
2021-08-05,0.0003320969549457914
2021-08-06,-0.0024871000328939713
2021-08-09,-0.0014552997490996304
2021-08-10,0.00037307399394437046
2021-08-11,0.0016085401432730242
2021-08-12,0.0009612398816145084
2021-08-13,0.0030413024989032716
2021-08-16,0.0016073993440866262
2021-08-17,-0.0021777841169847195
2021-08-18,-0.002841993804174625
2021-08-19,0.0008563475781002274
2021-08-20,0.002181826245043493
2021-08-23,0.00189930999367382
2021-08-24,-0.0010971562139219769
2021-08-25,-0.0007209127375867703
2021-08-26,-0.0015099965966182613
2021-08-27,0.0036378637637758376
2021-08-30,0.0010413880094468963
2021-08-31,-0.0011502359944665663
2021-09-01,-0.00023545731679926172
2021-09-02,0.002233178347386117
2021-09-03,-0.0016102423461640371
2021-09-07,-0.004234760392766388
2021-09-08,0.0008808930254024527
2021-09-09,0.0005870015192092806
2021-09-10,-0.0026074866330516038
2021-09-13,0.0016661431080156114
2021-09-14,-0.000706079752051183
2021-09-15,0.001296129301369703
2021-09-16,-0.0015011496323053255
2021-09-17,-0.0021539609801134903
2021-09-20,-0.003142936723115207
2021-09-21,0.000798716045260631
2021-09-22,0.002285179553529719
2021-09-23,0.0005598820896652996
2021-09-24,-0.0009178479437921131
2021-09-27,-0.0011315366761106105
2021-09-28,-0.007604100938134949
2021-09-29,0.001370897597522676
2021-09-30,-0.00372262364248076
2021-10-01,0.0057624033358676975
2021-10-04,-0.0029360166323952794
2021-10-05,0.00045030363184632525
2021-10-06,0.0004603127648967571
2021-10-07,0.0008868865172562605
2021-10-08,-0.0013543810318024194
2021-10-11,-0.0030158586774237527
2021-10-12,0.0017035370058096052
2021-10-13,0.0023655627994407066
2021-10-14,0.004970366501672173
2021-10-15,0.0002636203705628637
2021-10-18,-0.00012073107886990958
2021-10-19,0.0007509101413950267
2021-10-20,0.0012959502177011934
2021-10-21,-0.0007616255835635535
2021-10-22,0.0024269919391820536
2021-10-25,0.0014836499920138939
2021-10-26,0.0029027175969720213
2021-10-27,0.0006671683101704128
2021-10-28,0.002596657373813269
2021-10-29,0.00112379804920973
2021-11-01,0.0003048649186500349
2021-11-02,0.003116220606558723
2021-11-03,0.0002898205737346039
2021-11-04,0.0032822831945252414
2021-11-05,0.0015552849769838236
2021-11-08,-0.0011285035750955232
2021-11-09,0.001480117407232987
2021-11-10,-0.005608015943224248
2021-11-11,-0.0015580463513151033
2021-11-12,0.0011177743250966867
2021-11-15,-0.0028739983915649406
2021-11-16,9.932529371531099e-05
2021-11-17,0.0007746984526567918
2021-11-18,0.0007612351299927957
2021-11-19,-0.0004999456486660188
2021-11-22,-0.0031780045945168233
2021-11-23,-0.0011045271659998026
2021-11-24,0.0017671319945575298
2021-11-26,-0.00060203570100483
2021-11-29,0.0012962238480252381
2021-11-30,-0.003897737789128526
2021-12-01,-0.002889074062391247
2021-12-02,0.003241034815569937
2021-12-03,0.002137273992449965
2021-12-06,0.0005894654012775838
2021-12-07,0.0028266427025611567
2021-12-08,-0.001577949264637792
2021-12-09,-0.0001577102292708083
2021-12-10,0.003022033582483536
2021-12-13,0.0014522711964300378
2021-12-14,-0.0025711497055078635
2021-12-15,0.004494370551698241
2021-12-16,0.0004717189708417685
2021-12-17,-0.0037938224536207374
2021-12-20,-0.0035136539088932326
2021-12-21,0.002693211805723955
2021-12-22,0.0027065656681094976
2021-12-23,0.0006582855764276004
2021-12-27,0.0038496781967218576
2021-12-28,-0.0005277848868108619
2021-12-29,-0.0015600942085120663
