Strategy,Bull Sharpe,Bear Sharpe,Neutral Sharpe,Bull Return,Bear Return,Neutral Return
SPY Benchmark,2.943337486100695,0.27301962917954614,-0.463191312150065,0.34098522578739143,0.03916503884192071,-0.07412414377594252
Equal-Weighted,3.273084692555533,-0.42557931655313735,-0.9714523285026949,0.3660921729981877,-0.06229713983667985,-0.15525481762136656
HRP,2.9489064632622455,-0.4260886808742102,-1.852295822166603,0.20849274676477925,-0.044635263194692625,-0.1704067070917339
Black-Litterman,3.273084692555533,-0.42557931655313735,-0.9714523285026949,0.3660921729981877,-0.06229713983667985,-0.15525481762136656
Constrained-Optimal,3.273084692555533,-0.42557931655313735,-0.9714523285026949,0.3660921729981877,-0.06229713983667985,-0.15525481762136656
RL-PPO,3.159466968697482,-0.10868491489065842,-0.7935827662568476,0.41801039877515844,-0.01684020787287697,-0.13183387757118853
