date,market_vol_20d,market_vol_60d,market_ret_20d,market_ret_60d,dispersion_20d,breadth_1d,breadth_20d,avg_market_corr_60d,advance_decline_ratio,market_trend_200d
2020-08-24,0.0941219714852439,0.1936635346544182,0.06094914606911339,0.13179867777190446,0.01677434042014312,0.7818181818181819,0.8181818181818182,0.3936940323661998,3.3076923076923075,0
2020-08-25,0.08744028246590671,0.19364398325307214,0.07145731218493157,0.13118746684615212,0.016660178717387123,0.5636363636363636,0.8,0.3972090027449589,1.24,0
2020-08-26,0.08472698503983037,0.1939135934211145,0.06905149172030312,0.13314579267892834,0.017459897547709807,0.5818181818181818,0.7636363636363637,0.39967970206410386,1.3333333333333333,0
2020-08-27,0.08086267593577148,0.1925171033407143,0.07522529473285777,0.12070887660748442,0.017051564123848097,0.5636363636363636,0.8909090909090909,0.3919787488159797,1.2916666666666667,0
2020-08-28,0.08001321045762477,0.19249011569636193,0.07368644190204066,0.13091851482427663,0.01659374646289262,0.8,0.8909090909090909,0.38943012193078885,3.6666666666666665,0
2020-08-31,0.08284519858811705,0.18647594410684962,0.06241084133393504,0.09866357020391292,0.016767130415510284,0.3090909090909091,0.8545454545454545,0.39525752191990504,0.4358974358974359,0
2020-09-01,0.08586529330314835,0.18591653958413398,0.06829062534633779,0.09576623611140622,0.016970544720873663,0.6363636363636364,0.8545454545454545,0.38524503071853083,1.6666666666666667,0
2020-09-02,0.09414574162961531,0.18678414643620508,0.07705270870631464,0.11996652315281264,0.017200334647060368,0.8727272727272727,0.8727272727272727,0.3827172161586265,6.0,0
2020-09-03,0.16410475498184265,0.20059219807617298,0.03308165143720365,0.08749219747305759,0.019216663469391923,0.03636363636363636,0.8181818181818182,0.3849205491530239,0.037037037037037035,0
2020-09-04,0.16778333882251004,0.15977406753446197,0.023911366457680883,0.14459769976099346,0.019160660224348765,0.4,0.7454545454545455,0.4089016357684284,0.6666666666666666,0
2020-09-08,0.19575200466639472,0.16960917151801053,-0.007032947057308947,0.10014900985275021,0.020235992984382802,0.09090909090909091,0.4727272727272727,0.30431879219255137,0.09803921568627451,0
2020-09-09,0.20560914739108424,0.1729343840182381,0.02100376182062158,0.11149777386109871,0.020483524509620744,0.8727272727272727,0.6181818181818182,0.32101632197267554,6.0,0
2020-09-10,0.20970547496224812,0.17345362293665098,-0.01052008332615828,0.07157264061505209,0.020371218583774175,0.12727272727272726,0.4727272727272727,0.32778833621051195,0.14285714285714285,0
2020-09-11,0.2096670346192593,0.1731003951193197,-0.00822368790167205,0.07659008410280799,0.020191328407464227,0.6909090909090909,0.4727272727272727,0.3271178920800541,2.111111111111111,0
2020-09-14,0.21508449615071332,0.17479011994283783,0.004809310684982915,0.09035005431548715,0.020710730406508164,0.8727272727272727,0.6181818181818182,0.32714048746403657,6.0,0
2020-09-15,0.2155166213919004,0.17428317511779265,0.0066881773014753065,0.10215794304258785,0.02063148411568541,0.6545454545454545,0.6181818181818182,0.33038199909882954,1.8,0
2020-09-16,0.21595844500877442,0.17437788948045288,0.0005313656144818601,0.0907862863590494,0.02110479926363912,0.43636363636363634,0.6181818181818182,0.3293924952631998,0.7741935483870968,0
2020-09-17,0.21779344483834132,0.17552056682418418,-0.004121537102361628,0.07623788561010025,0.020889309198492603,0.3090909090909091,0.5818181818181818,0.3255483590095436,0.4358974358974359,0
2020-09-18,0.22108009850026916,0.16860220305374093,-0.01864246669211511,0.09169498993937042,0.02081280006573249,0.2545454545454545,0.5454545454545454,0.32549141764542,0.3333333333333333,0
2020-09-21,0.22333724014702777,0.16945341373836853,-0.032995298086521574,0.06809461619953217,0.02156103100198825,0.23636363636363636,0.41818181818181815,0.3011823777559212,0.3023255813953488,0
2020-09-22,0.22337314001095993,0.16226896439646893,-0.03294599516976593,0.10522287197330749,0.021264709014039505,0.5454545454545454,0.38181818181818183,0.3040538744504569,1.2,0
2020-09-23,0.2351086845564148,0.16781045903378475,-0.05866667787288948,0.0639544266471812,0.021841378123115318,0.03636363636363636,0.2545454545454545,0.2800924400402589,0.037037037037037035,0
2020-09-24,0.23115460920757325,0.16606296645426735,-0.06552636670232836,0.05329810680127989,0.020813545679298537,0.5272727272727272,0.16363636363636364,0.28822694658457565,1.1153846153846154,0
2020-09-25,0.24067194048241033,0.16854000249009618,-0.052490496034758194,0.06288147442142789,0.02084751484261657,0.9272727272727272,0.2727272727272727,0.2821311488158192,10.2,0
2020-09-28,0.24830484174578854,0.17130076828744012,-0.042935400731906825,0.07461709512819636,0.02129771325027108,0.9272727272727272,0.3090909090909091,0.29013648533166037,10.2,0
2020-09-29,0.24853979507813242,0.16925154088269345,-0.04468659066384062,0.05251696688929819,0.021178376854199,0.23636363636363636,0.2545454545454545,0.2955711154525081,0.3023255813953488,0
2020-09-30,0.24748761851639442,0.16815288978267187,-0.04642484666622482,0.07154899523778302,0.021030925311252884,0.8909090909090909,0.32727272727272727,0.2894416839710163,7.0,0
2020-10-01,0.24186235462386868,0.16797063726658987,-0.0539859772076563,0.0702424062059881,0.02070921466213124,0.6363636363636364,0.18181818181818182,0.2870655654060941,1.6666666666666667,0
2020-10-02,0.21291233858166594,0.16881430200773903,-0.029571549012181952,0.06615050561968072,0.01960736826819216,0.43636363636363634,0.4,0.2848710964510329,0.7741935483870968,0
2020-10-05,0.22168609076642704,0.17123022527129855,-0.004232954589063476,0.07408922899850867,0.019784412943802888,0.9454545454545454,0.509090909090909,0.28247559356172053,13.0,0
