date,AAPL,MSFT,GOOGL,NVDA,META,AVGO,ADBE,CRM,ORCL,CSCO,JPM,BAC,WFC,GS,MS,C,BLK,SCHW,AXP,USB,UNH,JNJ,LLY,ABBV,MRK,PFE,TMO,ABT,DHR,AMGN,AMZN,TSLA,WMT,HD,MCD,NKE,SBUX,TGT,LOW,TJX,XOM,CVX,COP,BA,CAT,RTX,HON,UPS,GE,DE,SPY,QQQ,IWM,EFA,AGG
2020-06-16,165428800,42556700,30648000,535716000,15236700,30387000,3764400,5824100,19380200,28074600,22193600,96796500,52985600,3099100,13551500,37638700,826900,12662400,6706000,9409400,4245400,7579100,15029300,9366100,21437050,55616945,1549100,6143400,3357266,2581600,71712000,210766500,25167600,5291600,5434800,6054400,10890100,5138000,5023900,12468500,26203400,8726700,6932400,76496900,6892400,11523900,4036575,4283300,19694772,2105600,137627500,48890100,48957000,37029400,5327400
2020-06-17,114406400,25687800,30610000,408304000,19578100,20279000,2112300,5038600,28692600,20399100,15639800,58349500,38660800,1798300,8674400,23727300,704600,12120900,4408200,7153000,2538000,5100100,4711200,6212200,13983045,27509822,1302600,4359100,2377147,2751100,59186000,148362000,20166900,4234000,3154100,3405500,6906700,3808600,7238800,6118500,19279400,6019900,5967200,53085400,3228100,9294400,3721564,4413500,15090141,1131600,83398900,34749300,34811400,26238300,3696000
2020-06-18,96820400,23061600,34862000,254408000,15782500,33625000,2578400,8677800,19259500,22423500,16591900,53419000,33670200,2051700,9825200,22280600,531800,10430100,3645700,5425900,2926600,4797400,3631600,4571600,7750903,32278855,1129900,6022900,2138011,2469800,49756000,146278500,20070000,3347800,3153300,4392400,8486000,3261100,3898100,9619300,21478700,7064100,7293700,60849900,2467700,6431100,2739078,3204500,15729550,883800,80828700,30578600,26974100,20035700,3356800
2020-06-19,264476000,44441100,52784000,524160000,30081300,58465000,3931600,11841000,33051200,36103200,40371200,127563600,71903000,4962400,20962700,50379300,1875200,14817900,7589500,42484600,5172800,12206900,6004900,9210900,17691393,43986266,2328500,9473300,6230846,5319500,115540000,130195500,40078800,11114600,6267700,10304000,12538600,12611200,6684300,13545400,48899900,14838800,13702800,67262100,6488000,19144400,5587120,9027100,17792356,2046200,135549600,49422100,50293800,32270800,2917400
2020-06-22,135445200,32818900,29442000,398468000,18917800,27195000,3156300,6252200,16705900,18398600,16216900,55484300,32808300,1806900,11657400,22642100,478600,8242500,4799900,8321200,2174100,5285600,2647300,6004300,7474231,23332503,1138100,5072800,1883760,2337000,64176000,95436000,27338400,3815200,3223200,6918200,8238600,4671200,3449200,8051400,17565400,5939200,5009100,53901500,2806300,7566100,2684224,4385700,15707761,1188500,74649400,24068700,28983200,20743000,3445700
2020-06-23,212155600,30917400,37752000,375108000,24017900,22419000,3065900,6950800,18695000,23222400,15381400,46108300,47279100,2451800,9672600,22092600,605900,9923100,4364800,6545800,4023400,5921600,2771500,6715600,11428650,37690408,1680600,4156900,1452526,2171500,84634000,95479500,19727700,3105300,2951900,6499000,8076600,4307000,3384200,5141600,18916600,6317700,4962200,50281300,2357100,6935100,2450698,5565900,16168082,940400,68471200,32767400,20344200,20897800,3991400
2020-06-24,192623200,36740600,31592000,449372000,20834900,19096000,3329400,4903100,18287400,22840100,22919800,75437100,57380900,2756700,12806200,27207700,868800,14398500,5958300,7351300,3399900,8211200,3096000,9025100,8084901,30817695,1892700,6141900,2285102,1972900,90532000,164394000,20614800,3873000,4146600,8611600,12306400,4181600,4150100,7230700,27626900,8974500,7137200,56534800,3766500,9880500,3576843,5471300,29025298,1985600,132813500,46032400,42998700,34030900,5040100
2020-06-25,137522400,27803900,23958000,376072000,18704300,15029000,2275200,4022400,16008700,19114900,25743600,65031900,45102200,3466500,15014300,28112400,713900,14814500,5195400,6023400,3112500,7421200,3735400,6411700,7583328,27418651,1294900,5781100,2236034,2080300,59374000,138817500,20569800,2938400,3145200,11531400,8624800,2759500,4022800,7174300,19353600,7398000,5981000,57335700,2903400,12717400,4264159,2987000,14836396,1671100,89468000,36940800,37191200,26357100,4723300
2020-06-26,205256800,54675800,97640000,592084000,76343900,31425000,3829700,7595700,17969400,106928300,41896300,118139200,81172300,9530700,20082500,35426200,1167800,28270700,10489400,13960100,5043200,12849700,5290400,14568400,12328882,42153992,1656400,8522500,3889006,3613300,130016000,132823500,26991600,5002700,5107400,24918500,17627800,6670800,5710700,8298000,31518600,13766000,8399400,50644400,3645800,17537900,10880873,5489000,17938840,2302800,127961000,52824600,39100100,32279300,5683400
2020-06-29,130646000,26701600,45074000,342248000,58514300,14516000,2623900,3972100,14366900,23875400,18499700,66269200,43769200,3736000,9380800,22578600,774400,12378300,4962400,5352100,2356700,5309800,2640300,6676400,7230990,23956261,957300,4669300,2574322,1938000,84468000,135396000,16511400,3468300,2622200,9624200,8653000,3258900,3328000,6555300,17052100,7022200,5764800,78499900,2798700,8908700,3152443,3395200,15103383,1094100,79773300,34377800,33935200,23749700,3517200
