date,price,ma_50,ma_200,regime,ma_cross
2020-08-24,318.4162292480469,299.12651916503904,,Bear,Death
2020-08-25,319.5304260253906,299.83992370605466,,Bear,Death
2020-08-26,322.73394775390625,300.50812561035156,,Bear,Death
2020-08-27,323.4396667480469,301.21447814941405,,Bear,Death
2020-08-28,325.5289306640625,301.96039611816406,,Bear,Death
2020-08-31,324.3496398925781,302.7156744384766,,Bear,Death
2020-09-01,327.4045715332031,303.49528076171873,,Bear,Death
2020-09-02,332.1401062011719,304.34304077148437,,Bear,Death
2020-09-03,320.7098388671875,305.1100189208984,,Bear,Death
2020-09-04,318.09130859375,305.7640869140625,,Bear,Death
2020-09-08,309.4000549316406,306.37989624023436,,Bear,Death
2020-09-09,315.5099792480469,307.03600708007815,,Bear,Death
2020-09-10,310.0315246582031,307.51012268066404,,Bear,Death
2020-09-11,310.1893310546875,307.9472802734375,,Bear,Death
2020-09-14,314.27490234375,308.4343927001953,,Bear,Death
2020-09-15,315.8627319335937,308.8637506103516,,Bear,Death
2020-09-16,314.6092224121094,309.3287658691406,,Bear,Death
2020-09-17,311.8421936035156,309.69387084960937,,Bear,Death
2020-09-18,308.25201416015625,310.0205993652344,,Bear,Death
2020-09-21,304.8212890625,310.21910095214844,,Bear,Death
2020-09-22,307.9256896972656,310.5307604980469,,Bear,Death
2020-09-23,300.7846374511719,310.62382934570314,,Bear,Death
2020-09-24,301.5863647460937,310.67851989746094,,Bear,Death
2020-09-25,306.462158203125,310.8504113769531,,Bear,Death
2020-09-28,311.5522155761719,311.10683349609377,,Bear,Death
2020-09-29,309.8555603027344,311.2810382080078,,Bear,Death
2020-09-30,312.2048645019531,311.48941528320313,,Bear,Death
2020-10-01,314.2091979980469,311.7035229492187,,Bear,Death
2020-10-02,311.2259521484375,311.9303924560547,,Bear,Death
2020-10-05,316.7448425292969,312.3062677001953,,Bear,Death
2020-10-06,312.2420349121094,312.5486297607422,,Bear,Death
2020-10-07,317.67724609375,312.9377667236328,,Bear,Death
2020-10-08,320.4926452636719,313.3098571777344,,Bear,Death
2020-10-09,323.3546447753906,313.76072875976564,,Bear,Death
2020-10-12,328.556640625,314.2680999755859,,Bear,Death
