Ticker,Name,Type,Data Points,Start Date,End Date,Start Price,End Price,Total Return,Annualized Return,Annualized Vol,Sharpe Ratio,Max Drawdown
RTX,Raytheon Tech,Stock,1381,2020-05-28,2025-11-21,$59.11,$169.68,187.1%,21.2%,26.2%,0.79,-32.8%
HON,Honeywell,Stock,1381,2020-05-28,2025-11-21,$124.30,$190.02,52.9%,8.1%,22.4%,0.37,-27.1%
UPS,United Parcel Service,Stock,1381,2020-05-28,2025-11-21,$80.12,$94.66,18.1%,3.1%,29.0%,0.18,-57.9%
GE,General Electric,Stock,1381,2020-05-28,2025-11-21,$32.94,$287.44,772.7%,48.5%,33.0%,1.30,-46.5%
DE,Deere & Co,Stock,1381,2020-05-28,2025-11-21,$142.35,$487.24,242.3%,25.2%,28.9%,0.85,-33.8%
SPY,S&P 500 ETF,ETF,1381,2020-05-28,2025-11-21,$280.09,$659.03,135.3%,16.9%,17.4%,0.87,-24.5%
QQQ,Nasdaq 100 ETF,ETF,1381,2020-05-28,2025-11-21,$222.68,$590.07,165.0%,19.5%,23.0%,0.80,-35.1%
IWM,Russell 2000 ETF,ETF,1381,2020-05-28,2025-11-21,$130.46,$235.60,80.6%,11.4%,23.3%,0.49,-31.9%
EFA,EAFE International ETF,ETF,1381,2020-05-28,2025-11-21,$50.94,$92.65,81.9%,11.5%,16.4%,0.63,-29.5%
AGG,Bond Aggregate ETF,ETF,1381,2020-05-28,2025-11-21,$100.48,$100.44,-0.0%,-0.0%,5.8%,-0.31,-18.4%
