date,ticker,type,shares,price,target_weight,current_weight,drift
2025-04-02,HD,BUY,7,366.51995849609375,0.028165316,0.0,0.028165316209197044
2025-04-02,MCD,BUY,2,308.0737609863281,0.009210498,0.0,0.009210498072206974
2025-04-02,NKE,BUY,14,64.19751739501953,0.009210498,0.0,0.009210498072206974
2025-04-02,SBUX,BUY,9,97.36459350585938,0.009210498,0.0,0.009210498072206974
2025-04-02,TGT,BUY,26,102.16478729248047,0.02740977,0.0,0.027409769594669342
2025-04-02,LOW,BUY,31,231.66770935058594,0.0725614,0.0,0.07256139814853668
2025-04-02,TJX,BUY,7,123.77345275878906,0.009210498,0.0,0.009210498072206974
2025-04-02,DG,BUY,29,88.63089752197266,0.026192069,0.0,0.026192069053649902
2025-04-02,CAT,BUY,2,330.89007568359375,0.009210498,0.0,0.009210498072206974
2025-04-02,BA,BUY,5,168.55999755859375,0.009210498,0.0,0.009210498072206974
2025-04-02,HON,BUY,4,200.28872680664062,0.009210498,0.0,0.009210498072206974
2025-04-02,UNP,BUY,3,235.55287170410156,0.009210498,0.0,0.009210498072206974
2025-04-02,RTX,BUY,7,131.37454223632812,0.009210498,0.0,0.009210498072206974
2025-04-02,XOM,BUY,67,115.49272155761719,0.078216255,0.0,0.07821625471115112
2025-04-02,CVX,BUY,9,160.8594970703125,0.0148737645,0.0,0.014873764477670193
2025-04-02,COP,BUY,43,103.38456726074219,0.04507247,0.0,0.04507246986031532
2025-04-02,SLB,BUY,22,41.50535202026367,0.009210498,0.0,0.009210498072206974
2025-04-02,EOG,BUY,10,126.51917266845703,0.01284317,0.0,0.012843170203268528
2025-04-02,LIN,BUY,2,466.7578125,0.011205368,0.0,0.011205367743968964
2025-04-02,APD,BUY,14,291.1644287109375,0.04247954,0.0,0.04247954115271568
2025-04-02,NEE,BUY,13,68.91117095947266,0.009210498,0.0,0.009210498072206974
2025-04-02,DUK,BUY,7,117.26309204101562,0.009210498,0.0,0.009210498072206974
2025-04-02,SO,BUY,66,89.09323120117188,0.058877986,0.0,0.058877985924482346
2025-07-15,NVDA,SELL,2,170.69036865234375,0.009232595,0.012371133676922576,0.0031385390453102756
2025-07-15,TSLA,SELL,3,310.7799987792969,0.055083204,0.06475769664499585,0.009674492584202929
2025-07-15,AVGO,SELL,1,280.45947265625,0.009232595,0.012704296288739515,0.0034717016571272144
2025-07-15,ORCL,SELL,14,234.552978515625,0.063155465,0.09349838839448289,0.03034292356646852
2025-07-15,BAC,BUY,24,45.89472579956055,0.025849814,0.015799992196222287,0.010049821399191874
2025-07-15,WFC,BUY,3,77.98939514160156,0.021732366,0.01907698826829626,0.0026553774442272006
2025-07-15,C,SELL,29,89.59306335449219,0.016960228,0.04058400351006702,0.02362377564806655
2025-07-15,USB,BUY,23,45.20502853393555,0.01834683,0.008600358181332483,0.009746471158529387
2025-07-15,UNH,BUY,3,289.88116455078125,0.011734675,0.0026262163071894442,0.009108458377513905
2025-07-15,JNJ,BUY,16,154.03933715820312,0.034473643,0.01116431610368141,0.02330932660318962
2025-07-15,ABBV,BUY,1,185.055908203125,0.009232595,0.006706152772884463,0.002526441858727838
2025-07-15,MRK,SELL,6,80.72261810302734,0.009232595,0.013895025123983598,0.004662430492371297
2025-07-15,TMO,BUY,1,417.6151123046875,0.009232595,0.003783438705867327,0.005449155925744974
2025-07-15,DHR,SELL,2,192.5198974609375,0.009490202,0.013953273437516723,0.004463071256475482
2025-07-15,PFE,BUY,3,23.773929595947266,0.009232595,0.008399937904956942,0.0008326567266553585
2025-07-15,BMY,BUY,6,45.80051040649414,0.009232595,0.006638971386417971,0.00259362324519433
2025-07-15,HD,SELL,1,356.6168212890625,0.016622676,0.02261571699758831,0.005993041414821779
2025-07-15,MCD,BUY,1,297.9285888671875,0.009232595,0.005398245999690556,0.0038343486319217445
2025-07-15,NKE,BUY,3,71.61781311035156,0.011466271,0.00908363316926664,0.002382638074722828
2025-07-15,SBUX,BUY,2,91.21483612060547,0.009232595,0.0074373545933517984,0.0017952400382605024
2025-07-15,TGT,SELL,9,99.85477447509766,0.015375985,0.023520831974626115,0.008144847141981652
2025-07-15,LOW,BUY,2,212.8261260986328,0.06517169,0.05977190949433518,0.00539977930075454
2025-07-15,COST,BUY,1,964.97607421875,0.009232595,0.0,0.009232594631612301
2025-07-15,TJX,BUY,2,121.00480651855469,0.01052404,0.0076738120475628125,0.0028502280404947055
2025-07-15,DG,BUY,14,112.53927612304688,0.044369422,0.029567364253340896,0.0148020576459778
2025-07-15,UNP,BUY,1,229.7054443359375,0.009232595,0.0062431395089096045,0.0029894551227026963
2025-07-15,XOM,BUY,10,110.89903259277344,0.07788829,0.0673151870214351,0.01057310058242003
2025-07-15,CVX,BUY,14,147.38491821289062,0.031431574,0.012017276411175832,0.019414297963261502
2025-07-15,COP,BUY,17,90.94886779785156,0.050181493,0.035430415785567854,0.014751077377540972
2025-07-15,SLB,BUY,7,34.791587829589844,0.009232595,0.00693437664347344,0.0022982179881388606
2025-07-15,EOG,SELL,1,117.5983657836914,0.009564185,0.010653977687669229,0.001089793103945684
2025-07-15,APD,BUY,2,284.7685852050781,0.041826513,0.03611857516716183,0.00570793749739467
2025-07-15,DUK,BUY,1,115.09593963623047,0.009232595,0.007299086983545859,0.0019335076480664418
2025-09-10,TSLA,BUY,3,347.7900085449219,0.06816212,0.05861066669323735,0.009551454185459093
2025-09-10,AVGO,SELL,1,368.9378967285156,0.009325873,0.01243491507195846,0.003109041965240396
2025-09-10,ORCL,SELL,16,327.7611999511719,0.036591366,0.08285302326115723,0.04626165732773896
2025-09-10,CRM,BUY,1,242.14834594726562,0.009325873,0.006121140190604741,0.0032047329161133224
2025-09-10,BAC,BUY,13,50.130001068115234,0.031935245,0.026189003152521092,0.0057462416461391864
2025-09-10,WFC,SELL,16,79.88002014160156,0.009325873,0.020192448550590436,0.010866575443872373
2025-09-10,MS,BUY,12,153.18740844726562,0.025355408,0.00903546844684681,0.016319939521316683
2025-09-10,BLK,BUY,1,1102.8900146484375,0.018259186,0.0,0.018259186297655106
2025-09-10,SCHW,BUY,1,91.97882843017578,0.009325873,0.008525308887338406,0.0008005642193796569
2025-09-10,AXP,BUY,5,322.53277587890625,0.022290092,0.008153135754433915,0.014136956207188323
2025-09-10,C,SELL,9,96.59406280517578,0.009325873,0.017092252205494186,0.007766379098776123
2025-09-10,USB,BUY,12,48.677772521972656,0.023357105,0.0180473290986717,0.005309775411397193
2025-09-10,UNH,BUY,2,344.6059265136719,0.019008232,0.011614815033881728,0.007393417246730264
2025-09-10,JNJ,SELL,4,175.7899932861328,0.028595982,0.03554961943020568,0.006953637310764649
2025-09-10,ABT,BUY,1,128.7873077392578,0.009325873,0.0075962748324252686,0.0017295982742927948
2025-09-10,DHR,BUY,19,192.2503662109375,0.04204893,0.009719591010780865,0.03232934011104531
2025-09-10,PFE,BUY,37,24.14484405517578,0.016144503,0.008544826712295164,0.007599676195696245
2025-09-10,BMY,BUY,1,46.51074981689453,0.009325873,0.008621951715154855,0.0007039213915632087
2025-09-10,WMT,BUY,1,100.41000366210938,0.009325873,0.008460704897660239,0.0008651682090578244
2025-09-10,MCD,BUY,5,305.94000244140625,0.02254718,0.007733695795162011,0.014813484037892531
2025-09-10,NKE,SELL,2,74.25,0.009325873,0.010635917107432247,0.0013100440007141837
2025-09-10,SBUX,BUY,2,82.28553009033203,0.009325873,0.007626859060408657,0.0016990140463094064
2025-09-10,TGT,BUY,6,89.64995574951172,0.017852534,0.012841878761438056,0.005010654847236947
2025-09-10,LOW,SELL,20,265.2458801269531,0.028985145,0.07375511618609631,0.04476997161562646
2025-09-10,TJX,SELL,1,139.45736694335938,0.009325873,0.01057580744977064,0.001249934343052577
2025-09-10,DG,BUY,3,105.8298568725586,0.04123471,0.0383447781050362,0.002889931217416347
2025-09-10,HON,BUY,1,198.34078979492188,0.009325873,0.0066850028101610075,0.002640870296557056
2025-09-10,UNP,BUY,1,215.19000244140625,0.009325873,0.00725289927768648,0.0020729738290315835
2025-09-10,XOM,SELL,5,111.52454376220703,0.067302555,0.07235869821606308,0.005056143370253147
2025-09-10,CVX,SELL,3,156.04718017578125,0.025071092,0.030242196144628673,0.005171104194688945
2025-09-10,COP,SELL,2,93.452880859375,0.045000806,0.04724692070212973,0.002246114251285916
2025-09-10,SLB,BUY,1,36.15999984741211,0.009325873,0.008836005599899624,0.0004898675068184394
2025-09-10,LIN,BUY,2,472.70001220703125,0.016542356,0.00796608935871055,0.008576267102575995
2025-09-10,APD,SELL,1,285.6130065917969,0.035893958,0.03850592212845128,0.002611964066517765
2025-09-10,NEE,BUY,2,70.56218719482422,0.009325873,0.007729385193901745,0.001596487912816318
2025-09-10,DUK,BUY,1,120.3042984008789,0.009325873,0.008109623579858456,0.0012162495268596071
2025-09-10,SO,SELL,18,90.81290435791016,0.03624919,0.05050345218488393,0.014254261615959982
